w_N,seed,F_best,N_exposed,L_total,R_N,R_L,topology,n_accepted,cum_acceptance,n_worse_accepted,last_improve_gen,runtime_s,success,timed_out,init_valid
0.7,14,0.508625,1746502,858.15,71.693,-3.491,"(1,((2,3),(4,5)))",43,0.286667,12,140,515.4,True,False,True
0.7,15,0.490367,1789184,794.30,71.001,4.209,"((1,2),((3,4),5))",43,0.286667,15,143,382.5,True,False,True
0.7,16,0.489210,1775689,795.33,71.220,4.084,"((1,2),(3,(4,5)))",68,0.453333,22,147,637.0,True,False,True
0.7,17,0.491395,1757629,807.03,71.512,2.673,"((1,2),((3,4),5))",38,0.253333,10,150,612.6,True,False,True
0.7,18,0.486990,1769609,791.10,71.318,4.594,"((1,2),(3,(4,5)))",58,0.386667,18,149,511.2,True,False,True
0.7,19,0.486017,1677256,817.37,72.815,1.426,"(1,(2,(3,(4,5))))",45,0.300000,21,130,603.6,True,False,True
0.8,0,0.420710,1767352,794.15,71.355,4.226,"((1,2),(3,(4,5)))",57,0.380000,20,150,458.2,True,False,True
0.8,1,0.421044,1737126,811.79,71.845,2.100,"((1,2),(3,(4,5)))",59,0.393333,17,150,416.9,True,False,True
0.8,2,0.420471,1740576,807.56,71.789,2.610,"((1,2),(3,(4,5)))",48,0.320000,14,141,527.0,True,False,True
0.8,3,0.415537,1674023,822.88,72.867,0.762,"(1,(2,(3,(4,5))))",37,0.246667,16,140,622.8,True,False,True
0.8,4,0.416238,1697128,813.37,72.493,1.910,"(1,(2,(3,(4,5))))",42,0.280000,14,106,628.7,True,False,True
0.8,5,0.415169,1677749,819.35,72.807,1.188,"(1,(2,(3,(4,5))))",41,0.273333,11,137,593.1,True,False,True
0.8,6,0.415065,1673087,821.43,72.882,0.937,"(1,(2,(3,(4,5))))",30,0.200000,11,138,569.7,True,False,True
0.8,7,0.421339,1757332,802.15,71.517,3.263,"((1,2),(3,(4,5)))",49,0.326667,14,148,533.4,True,False,True
0.8,8,0.421276,1759238,800.86,71.486,3.417,"((1,2),((3,4),5))",31,0.206667,8,130,476.5,True,False,True
0.8,9,0.397457,1464739,860.43,76.259,-3.766,"((1,2),(3,(4,5)))",62,0.413333,24,141,393.6,True,False,True
0.8,10,0.421220,1748977,806.15,71.652,2.780,"((1,2),(3,(4,5)))",44,0.293333,6,147,513.9,True,False,True
